#Legend: 
# name1	name2	score	z-score	rmsd	len1	len2	sim1	sim2	 
4hhb.C	4hhb.D	309.61	6.47	1.41	141	146	99	95	
4hhb:0	4hhb:1	366.29	6.47	1.49	141	146	99	95	
1cdg.A	1tim.B	512.44	5.04	4.66	688	247	24	67	
1hiv.A	1a4w.H	229.12	2.58	4.14	99	249	70	28	
1RLW	1BYN	134.17	5.86	2.01	128	131	81	79	
2sim	1nsb	571.50	5.86	2.99	381	783	72	35	
1CEW	1mol	127.71	3.70	3.05	108	188	74	43	
1TEN	3HHR	133.27	4.58	1.87	89	573	98	15	
#Legend: 
# name1	name2	score	z-score	rmsd	len1	len2	sim1	sim2	 
4hhb.C	4hhb.D	309.61	6.47	1.41	141	146	99	95	
4hhb:0	4hhb:1	366.29	6.47	1.49	141	146	99	95	
1cdg.A	1tim.B	512.44	5.04	4.66	688	247	24	67	
1hiv.A	1a4w.H	229.12	2.58	4.14	99	249	70	28	
1RLW	1BYN	134.17	5.86	2.01	128	131	81	79	
2sim	1nsb	571.50	5.86	2.99	381	783	72	35	
1CEW	1mol	127.71	3.70	3.05	108	188	74	43	
1TEN	3HHR	133.27	4.58	1.87	89	573	98	15	
4hhb:(A:10-40,B:10-40)	4hhb:(C:10-40,D:10-40)	170.65	5.33	0.27	62	62	100	100	
